109	299	3
45	30	1
266	246	3
143	138	4
69	28	1
148	199	1
223	121	4
193	65	2
89	256	1
226	24	2
154	18	4
256	78	4
283	36	3
6	179	1
49	22	1
84	220	4
258	5	3
134	84	1
217	101	2
196	13	2
27	181	2
165	275	2
214	184	1
53	257	2
19	184	1
208	237	2
41	121	1
48	111	1
153	213	2
11	294	3
202	51	4
76	116	1
16	151	1
194	87	3
145	251	2
181	2	4
100	169	1
251	51	3
111	196	5
92	284	1
245	197	3
8	258	1
38	139	1
163	6	3
154	248	3
56	272	3
157	264	3
237	201	1
255	125	4
98	86	1
210	168	2
209	137	4
152	180	1
161	214	3
176	135	2
39	156	3
102	187	3
209	109	3
240	141	3
151	125	4
189	175	1
52	295	2
99	155	3
80	147	1
43	222	1
223	57	1
11	167	2
110	0	4
133	238	3
69	148	1
129	80	4
118	207	3
82	118	3
141	23	3
16	1	1
108	220	1
63	214	4
205	115	4
103	210	4
222	176	5
279	183	1
80	11	1
66	192	4
46	273	3
151	175	3
105	98	1
87	98	3
48	157	3
151	127	3
139	53	2
141	65	1
167	156	1
127	144	3
98	92	1
245	95	4
277	162	5
166	106	3
50	98	1
243	245	1
266	183	4
205	38	5
80	108	1
57	178	2
189	177	2
136	249	4
175	271	1
204	183	1
75	217	1
94	225	1
83	73	3
222	197	4
68	47	1
189	291	2
238	204	2
168	291	3
248	171	1
79	75	4
17	159	2
272	129	4
140	279	1
20	183	1
195	119	3
211	106	3
19	221	2
117	48	2
97	95	1
66	238	3
133	4	3
237	69	1
19	64	1
259	41	1
85	86	1
286	247	5
34	292	3
104	173	2
138	82	1
0	74	4
136	146	3
56	278	3
99	100	4
49	70	1
81	101	3
7	155	3
157	270	4
155	206	1
76	86	2
163	77	1
200	50	3
131	67	3
96	189	1
159	270	3
252	256	1
76	8	1
272	295	3
255	86	2
109	182	2
239	74	4
7	203	2
203	13	3
220	112	1
287	45	1
29	273	4
14	164	1
230	88	2
218	286	3
257	135	4
203	146	1
183	286	1
32	95	1
139	241	1
58	261	1
277	68	5
85	255	1
77	213	1
193	205	3
100	294	1
135	224	2
41	140	1
187	24	2
44	260	3
133	239	2
84	193	3
53	102	1
195	90	3
247	231	4
287	102	2
202	108	4
112	163	1
231	140	2
115	20	3
159	152	2
142	228	1
276	177	1
272	263	3
161	238	3
125	97	1
140	176	1
74	161	1
241	40	3
43	55	2
205	42	4
122	201	1
284	34	2
165	177	2
167	85	3
191	53	4
265	202	1
248	177	1
285	71	1
198	280	2
195	257	1
263	292	3
73	107	4
238	126	4
223	21	4
204	0	4
232	172	3
207	25	4
92	221	1
160	111	1
217	269	1
22	266	2
213	162	5
24	116	3
201	175	1
34	298	2
165	199	1
101	94	4
224	41	3
156	188	2
50	61	1
195	27	3
